tamanho,bubble_ms,merge_ms,quick_ms
100,0.011047363,0.002075195,0.001525879
300,0.094726563,0.006774902,0.005218506
500,0.271484375,0.011962891,0.009155273
1000,1.070312500,0.026855469,0.020019531
10000,104.000000000,0.671875000,0.601562500
